City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,taroa,8.7058,171.2275,27.390000000000043,78,89,4.99,MH,1697659478
101,kisangani,0.5167,25.2,22.55000000000001,98,100,1.07,CD,1697660017
102,praya,14.9215,-23.5087,27.30000000000001,78,20,5.66,CV,1697660018
103,college,64.8569,-147.8028,-1.6299999999999955,89,100,5.14,US,1697659202
104,carnarvon,-24.8667,113.6333,22.57000000000005,69,89,10.67,AU,1697659212
105,port alfred,-33.5906,26.891,18.430000000000007,95,90,1.79,ZA,1697659358
106,nemuro,43.3236,145.575,14.590000000000032,82,100,9.58,JP,1697659309
107,makubetsu,45.3714,141.8211,12.120000000000005,87,100,8.05,JP,1697660021
108,thompson,55.7435,-97.8558,8.090000000000032,53,40,2.57,CA,1697659357
109,santa cruz,-17.8,-63.1667,35.920000000000016,29,85,5.15,BO,1697660022
110,brisas de zicatela,15.8369,-97.0419,31.29000000000002,55,20,5.14,MX,1697660023
111,orillia,44.6087,-79.4207,14.210000000000036,62,87,3.09,CA,1697660023
112,kodiak,57.79,-152.4072,8.730000000000018,43,0,11.83,US,1697659455
113,st. john's,47.5649,-52.7093,8.970000000000027,73,75,7.72,CA,1697659225
114,gulf shores,30.246,-87.7008,24.600000000000023,64,40,3.6,US,1697659774
115,tulun,54.5611,100.5792,4.07000000000005,95,100,1.74,RU,1697660025
116,hargeysa,9.56,44.065,21.5,76,9,3.97,SO,1697660026
117,alofi,-19.0595,-169.9187,23.939999999999998,64,100,7.2,NU,1697659451
118,lebu,-37.6167,-73.65,14.25,68,6,7.08,CL,1697659454
119,labytnangi,66.6572,66.4183,-1.0299999999999727,92,22,3.04,RU,1697659464
120,isangel,-19.55,169.2667,24.400000000000034,87,91,1.62,VU,1697660028
121,susuman,62.7833,148.1667,-17.22999999999999,81,100,0.89,RU,1697659453
122,todi,42.7799,12.4046,16.57000000000005,62,81,2.17,IT,1697660029
123,sinabang,2.4803,96.3801,25.650000000000034,86,100,0.99,ID,1697659460
124,lihue,21.9789,-159.3672,27.77000000000004,67,40,4.12,US,1697659457
125,norilsk,69.3535,88.2027,3.57000000000005,96,100,4.45,RU,1697660031
126,tiksi,71.6872,128.8694,-8.560000000000002,97,100,1.6,RU,1697659456
127,terrace,54.5163,-128.6035,11.79000000000002,97,100,0.97,CA,1697659851
128,tazacorte,28.629,-17.9293,23.54000000000002,84,40,1.54,ES,1697659471
129,ilulissat,69.2167,-51.1,-8.989999999999952,79,75,0.0,GL,1697659290
130,geraldton,-28.7667,114.6,14.230000000000018,94,100,4.63,AU,1697659260
131,altai,46.3722,96.2583,-0.13999999999998636,54,0,0.52,MN,1697660034
132,banjarmasin,-3.3244,114.591,26.08000000000004,88,100,1.22,ID,1697659933
133,kuloy,61.0305,42.4925,2.2700000000000387,87,100,4.31,RU,1697660035
134,fortuna,40.5982,-124.1573,17.03000000000003,100,75,3.6,US,1697660035
135,savannah,32.0835,-81.0998,23.900000000000034,48,0,2.06,US,1697659249
136,battipaglia,40.6109,14.9852,21.24000000000001,79,95,0.79,IT,1697660036
137,satana,20.5833,74.2,23.870000000000005,62,35,1.28,IN,1697660037
138,santiago de cao,-7.9589,-79.2392,20.07000000000005,83,20,5.66,PE,1697660037
139,hamada,34.8833,132.0833,15.57000000000005,76,11,3.47,JP,1697660038
140,fale old settlement,-9.3852,-171.2468,28.310000000000002,72,100,3.75,TK,1697659452
141,salalah,17.0151,54.0924,28.05000000000001,78,20,1.54,OM,1697660039
142,cles,46.3667,11.0333,11.200000000000045,100,100,0.29,IT,1697660040
143,amursk,50.2261,136.8994,3.32000000000005,93,74,4.05,RU,1697660040
144,uturoa,-16.7333,-151.4333,26.129999999999995,78,19,4.8,PF,1697659276
145,sassandra,4.95,-6.0833,24.82000000000005,89,52,1.73,CI,1697659859
146,port elizabeth,-33.918,25.5701,18.510000000000048,92,40,2.57,ZA,1697659450
147,nadym,65.5333,72.5167,5.610000000000014,91,100,4.95,RU,1697659485
148,misawa,40.6836,141.3597,17.0,73,100,3.92,JP,1697660043
149,cedeira,43.6797,-8.0209,16.650000000000034,75,95,12.31,ES,1697660044
150,pestretsy,55.7531,49.6545,5.150000000000034,78,25,5.6,RU,1697660044
151,tateyama,34.9833,139.8667,21.170000000000016,63,19,6.81,JP,1697660045
152,orchard homes,46.8633,-114.0484,21.82000000000005,43,0,1.54,US,1697659470
153,gorom-gorom,14.4439,-0.2361,35.460000000000036,20,100,3.69,BF,1697660046
154,ust-nera,64.5667,143.2,-16.549999999999955,91,100,1.79,RU,1697659472
155,rio grande,-32.035,-52.0986,19.060000000000002,65,82,5.77,BR,1697659481
156,whitehorse,60.7161,-135.0538,7.430000000000007,89,100,6.17,CA,1697659452
157,taoudenni,22.6783,-3.9836,34.82000000000005,11,70,2.8,ML,1697660048
158,longyearbyen,78.2186,15.6401,0.910000000000025,75,75,11.32,SJ,1697659450
159,chonchi,-42.6128,-73.8092,18.560000000000002,62,10,0.13,CL,1697659407
160,manicore,-5.8092,-61.3003,35.54000000000002,35,90,0.45,BR,1697660049
161,west island,-12.1568,96.8225,25.99000000000001,83,40,3.6,CC,1697659861
162,nishinoomote,30.7333,131.0,21.370000000000005,62,0,2.05,JP,1697660051
163,petropavlovsk-kamchatsky,53.0452,158.6483,6.360000000000014,88,75,3.0,RU,1697659308
164,nuuk,64.1835,-51.7216,-4.509999999999991,58,100,9.39,GL,1697659212
165,tazovsky,67.4667,78.7,4.350000000000023,93,100,6.24,RU,1697659253
166,emerald,-23.5333,148.1667,16.30000000000001,79,1,3.87,AU,1697659454
167,monte azul paulista,-20.9072,-48.6414,31.590000000000032,41,64,5.46,BR,1697660054
168,san rafael,-34.6177,-68.3301,13.770000000000039,67,83,5.83,AR,1697660050
169,mokhsogollokh,61.4681,128.9203,-4.8700000000000045,87,100,3.91,RU,1697660055
170,bikenibeu village,1.3673,173.1241,23.980000000000018,94,100,4.12,KI,1697660056
171,tamanrasset,22.785,5.5228,24.950000000000045,16,0,2.06,DZ,1697659903
172,bishkek,42.87,74.59,7.110000000000014,38,90,0.88,KG,1697660057
173,nao me toque,-28.4592,-52.8208,14.04000000000002,98,100,5.19,BR,1697660057
174,adam,22.3756,57.5233,27.170000000000016,60,76,4.46,OM,1697660058
175,ambalangoda,6.2355,80.0538,24.189999999999998,93,100,4.08,LK,1697660058
176,sandnessjoen,66.0217,12.6316,2.0600000000000023,64,20,5.14,NO,1697659255
177,mount isa,-20.7333,139.5,22.870000000000005,15,3,4.63,AU,1697660059
178,as sulayyil,20.4607,45.5779,27.140000000000043,19,0,2.94,SA,1697660060
179,mount gambier,-37.8333,140.7667,10.010000000000048,52,13,2.93,AU,1697659290
180,porto novo,6.4965,2.6036,27.900000000000034,83,84,2.69,BJ,1697659474
181,al hilaliyya,14.9398,33.234,32.420000000000016,33,46,2.69,SD,1697660061
182,mumbwa,-14.9783,27.0619,25.400000000000034,49,92,4.31,ZM,1697660062
183,oriximina,-1.7656,-55.8661,33.97000000000003,42,90,1.17,BR,1697660062
184,port alberni,49.2413,-124.8028,12.740000000000009,94,100,0.89,CA,1697659486
185,san isidro,-12.1167,-77.05,21.77000000000004,68,75,5.66,PE,1697660063
186,saint-philippe,-21.3585,55.7679,24.77000000000004,83,88,4.09,RE,1697659910
187,port douglas,-16.4833,145.4667,23.29000000000002,77,92,6.63,AU,1697659476
188,sarmiento,-45.5882,-69.07,25.54000000000002,13,17,5.18,AR,1697660065
189,sianow,54.2265,16.2913,10.54000000000002,90,97,4.06,PL,1697660065
190,tuzlukcu,38.4778,31.6264,12.020000000000039,83,51,1.84,TR,1697660066
191,minas de marcona,-15.2119,-75.1103,19.220000000000027,68,27,6.7,PE,1697659306
192,port shepstone,-30.7414,30.455,19.77000000000004,91,12,1.7,ZA,1697660067
193,salekhard,66.53,66.6019,0.4500000000000455,86,9,5.37,RU,1697660067
194,vila velha,-20.3297,-40.2925,24.970000000000027,73,100,5.14,BR,1697660068
195,corinto,37.9407,22.9573,21.05000000000001,78,100,1.84,GR,1697660068
196,saint-francois,46.4154,3.9054,16.689999999999998,95,75,2.06,FR,1697660069
197,buenaventura,3.8801,-77.0312,28.83000000000004,80,81,2.62,CO,1697660070
198,kenora,49.8167,-94.4337,10.54000000000002,100,100,1.03,CA,1697659470
199,port augusta,-32.5,137.7667,14.480000000000018,29,0,1.27,AU,1697660071
200,kyshtovka,56.555,76.6271,7.970000000000027,70,23,4.02,RU,1697660071
201,berkeley vale,-33.35,151.4333,15.75,67,100,1.22,AU,1697660072
202,katabu,-4.9333,122.5167,23.49000000000001,91,100,1.46,ID,1697660076
203,qaqortoq,60.7167,-46.0333,-1.6899999999999977,62,4,3.0,GL,1697659835
204,portland,45.5234,-122.6762,21.390000000000043,65,20,3.13,US,1697659875
205,woolgoolga,-30.1106,153.2007,15.020000000000039,72,98,3.63,AU,1697660082
206,dwarka,22.2394,68.9678,27.28000000000003,78,2,4.67,IN,1697660082
207,amos,48.5669,-78.1162,10.5,66,100,4.55,CA,1697660083
208,huilong,31.8111,121.655,18.29000000000002,88,1,2.74,CN,1697660086
209,hasaki,35.7333,140.8333,15.220000000000027,74,55,5.55,JP,1697660087
210,n'zeto,-7.2312,12.8666,25.5,85,70,3.48,AO,1697660088
211,dean funes,-30.4204,-64.3498,11.420000000000016,45,100,7.89,AR,1697660088
212,mildura,-34.2,142.15,15.150000000000034,42,1,4.12,AU,1697660089
213,male,4.1748,73.5089,28.970000000000027,79,75,2.57,MV,1697660089
214,hadibu,12.65,54.0333,27.760000000000048,77,15,2.89,YE,1697659864
215,fisterra,42.9049,-9.2629,19.30000000000001,86,2,10.67,ES,1697660090
